ID_NUMBER,ACTIVITY_LOCATION,EVALUATION_IDENTIFIER,EVALUATION_TYPE,EVALUATION_DESC,EVALUATION_AGENCY,EVALUATION_START_DATE,FOUND_VIOLATION
GAD003300878,GA,002,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/28/1988,N  
GAD003300878,GA,003,CEI,COMPLIANCE EVALUATION INSPECTION,X  ,03/25/1988,N  
GAD003300878,GA,004,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/15/1988,N  
GAD003300969,GA,000,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/25/1999,N  
GAD003300969,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,06/29/1994,Y  
GAD003300977,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/21/1992,N  
GAD003264074,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/12/1998,N  
GAD003264074,GA,003,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,05/08/1986,N  
GAD078106846,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/30/1992,N  
GAD078106846,GA,001,FRR,FINANCIAL RECORD REVIEW,S  ,12/28/1992,N  
GAD078106846,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/11/1993,Y  
GAD078106846,GA,001,FRR,FINANCIAL RECORD REVIEW,S  ,04/05/1993,N  
GAD078106846,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/03/1994,Y  
GAD078106846,GA,001,FRR,FINANCIAL RECORD REVIEW,S  ,05/03/1994,N  
GAD078106846,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,08/29/1995,Y  
GAD078106846,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,01/12/1996,Y  
GAD078106846,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/12/1996,N  
GAD078106846,GA,001,FRR,FINANCIAL RECORD REVIEW,S  ,11/05/1996,Y  
GAD078106846,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/07/1997,N  
GAD070322235,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,12/16/1994,N  
GAD070322250,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,10/06/1983,Y  
GAD070326004,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,06/27/1985,N  
GAD070326616,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,04/24/1990,N  
GAD070327267,GA,002,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/09/1986,N  
GAD070327267,GA,004,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/12/1990,Y  
GAD070327267,GA,005,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/21/1990,N  
GAD070330576,GA,000,CEI,COMPLIANCE EVALUATION INSPECTION,X  ,10/22/1997,N  
GAD070330576,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,08/24/1984,Y  
GAD070330576,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,12/13/1989,Y  
GAD070330576,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,06/02/1992,Y  
GAD070330576,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/28/1992,N  
GAD070330576,GA,001,OAM,OPERATION AND MAINTENANCE INSPECTION,S  ,09/17/1992,Y  
GAD065328056,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,11/22/1994,Y  
GAD065328056,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,07/31/1996,Y  
GAD065328056,GA,002,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,12/13/1984,N  
GAD065328056,GA,003,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/08/1986,N  
GAD070330576,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/03/1993,N  
GAD070330576,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,09/23/1993,Y  
GAD070330576,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,11/16/1993,Y  
GAD070330576,GA,001,OAM,OPERATION AND MAINTENANCE INSPECTION,S  ,11/17/1993,N  
GAD070330576,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,01/21/1994,N  
GAD070330576,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,02/03/1994,Y  
GAD070330576,GA,001,FUI,FOLLOW-UP INSPECTION,S  ,10/07/1994,Y  
GAD070330576,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,12/09/1994,N  
GAD070330576,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,12/12/1994,N  
GAD069204659,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/01/1986,N  
GAD069204659,GA,001,CAV,COMPLIANCE ASSISTANCE VISIT,S  ,05/25/1999,N  
GAD069204659,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,12/18/2003,Y  
GAD069204659,GA,002,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,08/29/1986,Y  
GAD069204659,GA,003,NRR,NON-FINANCIAL RECORD REVIEW,S  ,10/07/1986,N  
GAD069204659,GA,004,NRR,NON-FINANCIAL RECORD REVIEW,S  ,12/08/1986,N  
GAD063777734,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,08/28/1984,N  
GAD048718191,GA,005,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/06/1990,N  
GAD048719108,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,05/08/1984,Y  
GAD048719108,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,08/16/1991,Y  
GAD048719108,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/28/1992,N  
GAD048719108,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/30/1992,N  
GAD048719108,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,09/15/1994,Y  
GAD048719108,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,11/29/1995,Y  
GAD048719108,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/30/1996,N  
GAD048719108,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/13/1998,N  
GAD048719108,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,04/26/1999,N  
GAD048719108,GA,002,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/20/1986,N  
GAD048719108,GA,004,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,05/24/1988,N  
GAD056206717,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,12/07/1995,N  
GAD056217276,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/07/1994,N  
GAD054202916,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,06/07/1995,Y  
GAD054202916,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,11/06/1997,N  
GAD054202916,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/19/2003,Y  
GAD054202916,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,X  ,02/19/2003,N  
GAD054202916,GA,002,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,04/11/1984,Y  
GAD054202916,GA,003,NRR,NON-FINANCIAL RECORD REVIEW,S  ,09/27/1988,N  
GAD054202916,GA,004,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,06/01/1989,Y  
GAD054202916,GA,005,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,06/05/1989,N  
GAD054203286,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/22/1986,N  
GAD054204482,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/04/1986,N  
GAD048709372,GA,001,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,E  ,01/10/2003,N  
GAD048709372,GA,001,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,11/13/2003,N  
GAD048709372,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,01/06/2004,N  
GAD048709372,GA,002,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/20/1986,N  
GAD048709372,GA,002,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/09/2003,N  
GAD048709372,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,03/16/2005,N  
GAD048709372,GA,003,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/08/1988,N  
GAD048711857,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,11/05/1984,Y  
GAD048711857,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/26/1993,N  
GAD048711857,GA,002,NRR,NON-FINANCIAL RECORD REVIEW,S  ,12/26/1984,N  
GAD048711857,GA,003,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/19/1985,N  
GAD048711857,GA,005,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/22/1986,N  
GAD042125146,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,04/13/1999,Y  
GAD042125146,GA,001,OAM,OPERATION AND MAINTENANCE INSPECTION,S  ,07/13/1999,N  
GAD042125146,GA,001,CDI,CASE DEVELOPMENT INSPECTION,S  ,11/05/1999,N  
GAD042125146,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,05/30/2000,N  
GAD042125146,GA,001,FRR,FINANCIAL RECORD REVIEW,S  ,05/31/2000,N  
GAD042125146,GA,001,OAM,OPERATION AND MAINTENANCE INSPECTION,S  ,09/18/2000,Y  
GAD042125146,GA,001,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,10/24/2000,N  
GAD042125146,GA,001,FRR,FINANCIAL RECORD REVIEW,S  ,04/05/2002,N  
GAD067560870,GA,033,FRR,FINANCIAL RECORD REVIEW,S  ,01/04/1985,N  
GAD067560870,GA,035,FRR,FINANCIAL RECORD REVIEW,S  ,01/06/1986,Y  
GAD067560870,GA,036,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,07/24/1985,N  
GAD067560870,GA,038,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,09/30/1986,Y  
GAD067560870,GA,039,FRR,FINANCIAL RECORD REVIEW,S  ,02/16/1987,N  
GAD067560870,GA,044,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,09/10/1987,N  
GAD067560870,GA,045,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/29/1987,Y  
GAD067560870,GA,047,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,07/23/1987,N  
GAD067560870,GA,050,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,09/17/1987,N  
GAD067560870,GA,051,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/13/1988,N  
GAD067560870,GA,053,CEI,COMPLIANCE EVALUATION INSPECTION,X  ,09/23/1988,N  
GAD067560870,GA,054,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,09/16/1988,N  
GAD067560870,GA,056,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,02/28/1989,N  
GAD067560870,GA,057,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,03/09/1989,N  
GAD067560870,GA,059,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,09/28/1989,Y  
GAD067560870,GA,060,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,11/30/1989,N  
GAD067560870,GA,062,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/20/1991,Y  
GAD067560870,GA,APT,CEI,COMPLIANCE EVALUATION INSPECTION,X  ,02/24/1999,N  
GAD063152573,GA,001,FRR,FINANCIAL RECORD REVIEW,S  ,02/27/2006,Y  
GAD063152573,GA,002,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/29/1985,N  
GAD063152573,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,09/17/1996,N  
GAD063152573,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,02/08/1997,Y  
GAD063152573,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,07/27/1999,N  
GAD063152573,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,02/06/2001,N  
GAD054215652,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/28/1992,N  
GAD054215652,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,10/18/1995,Y  
GAD063152573,GA,006,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,12/03/1986,N  
GAD063152573,GA,008,FRR,FINANCIAL RECORD REVIEW,S  ,02/16/1987,N  
GAD063152573,GA,009,FRR,FINANCIAL RECORD REVIEW,S  ,06/09/1987,N  
GAD063152573,GA,011,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/29/1988,Y  
GAD063152573,GA,012,FRR,FINANCIAL RECORD REVIEW,S  ,06/08/1988,N  
GAD061921052,GA,017,FRR,FINANCIAL RECORD REVIEW,S  ,06/27/1986,Y  
GAD061921052,GA,018,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,07/09/1986,N  
GAD061921052,GA,019,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/03/1987,N  
GAD061921052,GA,020,CEI,COMPLIANCE EVALUATION INSPECTION,X  ,03/03/1987,N  
GAD061921052,GA,021,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,12/17/1987,N  
GAD061921052,GA,022,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/17/1989,N  
GAD061921052,GA,023,OAM,OPERATION AND MAINTENANCE INSPECTION,S  ,06/27/1989,N  
GAD061921052,GA,024,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/14/1990,N  
GAD061921052,GA,025,GME,GROUNDWATER MONITORING EVALUATION,S  ,02/22/1990,Y  
GAD061921052,GA,026,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,04/05/1990,N  
GAD061921052,GA,027,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/16/1990,N  
GAD061921052,GA,028,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/03/1990,N  
GAD062576095,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,06/20/2001,N  
GAD062576095,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,06/20/2001,N  
GAD063152573,GA,001,FRR,FINANCIAL RECORD REVIEW,S  ,10/09/1984,Y  
GAD003264074,GA,004,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/08/1986,N  
GAD003264256,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,11/15/1984,N  
GAD003264256,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/28/1992,N  
GAD003264256,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,01/27/1993,Y  
GAD003264256,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/11/1996,N  
GAD003264256,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/26/1998,N  
GAD003275971,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,06/02/1999,N  
GAD003275971,GA,001,OAM,OPERATION AND MAINTENANCE INSPECTION,S  ,06/16/1999,Y  
GAD003275971,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/26/1999,N  
GAD003275971,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,09/13/1999,N  
GAD003275971,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,09/15/1999,N  
GAD003275971,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,11/04/1999,N  
GAD003275971,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/21/2000,N  
GAD003275971,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,05/16/2000,N  
GAD003275971,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,05/22/2001,N  
GAD003275971,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/27/2001,N  
GAD003275971,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/01/2001,N  
GAD003275971,GA,001,CAC,CORRECTIVE ACTION COMPLIANCE EVALUATION,S  ,08/09/2001,N  
GAD003275971,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/24/2001,N  
GAD003275971,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,10/02/2001,N  
GAD003275971,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,10/04/2001,N  
GAD003275971,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,11/02/2001,N  
GAD003275971,GA,001,CAC,CORRECTIVE ACTION COMPLIANCE EVALUATION,S  ,04/11/2002,N  
GAD003275971,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,06/13/2002,Y  
GAD981221229,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,12/20/1994,N  
GAD981221229,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,08/20/1998,N  
GAD981221245,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,01/18/1991,Y  
GAD981221260,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,04/15/1987,N  
GAD981221278,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,12/09/2003,Y  
GAD981221328,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,08/14/1992,Y  
GAD981221419,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/01/1996,N  
GAD981221419,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,05/20/1999,Y  
GAD981221468,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,06/18/1993,N  
GAD981221492,GA,JLB,CAV,COMPLIANCE ASSISTANCE VISIT,E  ,09/18/1997,N  
GAD981221518,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/28/1992,N  
GAD981221542,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,01/26/2006,N  
GAD981021769,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,11/02/1994,N  
GAD981021975,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,12/08/1999,N  
GAD065344301,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/26/1991,N  
GAD065344301,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/27/1992,Y  
GAD065344301,GA,001,FRR,FINANCIAL RECORD REVIEW,S  ,04/24/1992,N  
GAD065344301,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/30/1992,N  
GAD064489180,GA,005,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/19/1990,N  
GAD064489180,GA,006,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,02/08/1990,N  
GAD064489180,GA,007,NRR,NON-FINANCIAL RECORD REVIEW,S  ,09/13/1990,N  
GAD064493000,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/17/1992,N  
GAD064493000,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,08/25/1994,N  
GAD064494040,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/23/1984,N  
GAD057281156,GA,001,FRR,FINANCIAL RECORD REVIEW,S  ,05/30/1996,N  
GAD057281156,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,09/17/1996,N  
GAD057281156,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,07/10/1997,N  
GAD057281156,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/04/2004,N  
GAD057281156,GA,002,NRR,NON-FINANCIAL RECORD REVIEW,S  ,10/01/1984,N  
GAD057281156,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,07/10/1997,N  
GAD057281156,GA,004,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/30/1985,N  
GAD057281156,GA,005,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,06/13/1985,Y  
GAD057281156,GA,007,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/01/1985,N  
GAD057281156,GA,008,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/07/1985,N  
GAD057281156,GA,010,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/04/1986,N  
GAD057281156,GA,011,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/30/1986,Y  
GAD064494040,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,12/04/1996,N  
GAD064494040,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/22/1998,N  
GAD064494040,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,12/01/2000,Y  
GAD064494040,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,05/23/2003,N  
GAD064494040,GA,002,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/20/1986,N  
GAD064494040,GA,003,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/21/1988,N  
GAD064494040,GA,004,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,03/10/1989,Y  
GAD064494040,GA,006,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/21/1990,N  
GAD064496003,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/28/1992,N  
GAD064496003,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/30/1992,N  
GAD064501406,GA,002,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/22/1988,N  
GAD064503279,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,06/30/1994,N  
GAD064513757,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,04/07/1999,Y  
GAD064513757,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/04/1999,Y  
GAD064513757,GA,001,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,09/29/1999,N  
GAD064523616,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/12/1986,N  
GAD064531866,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,08/27/2004,Y  
GAD056238264,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/09/2005,N  
GAD056238264,GA,002,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/22/1988,N  
GAD049714579,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/08/1986,N  
GAD049714579,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/28/1992,N  
GAD049714579,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,11/16/1994,Y  
GAD042125146,GA,001,FRR,FINANCIAL RECORD REVIEW,S  ,04/10/2003,N  
GAD042125146,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,05/05/2003,N  
GAD042125146,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,01/23/2004,N  
GAD042101204,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/28/2000,N  
GAD042101204,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,12/15/2003,N  
GAD042101204,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,02/28/2000,N  
GAD042101204,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,12/15/2003,N  
GAD042101261,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,08/09/1991,N  
GAD042101261,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/28/1992,N  
GAD042101261,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,05/11/1990,N  
GAD033734716,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,07/23/1999,N  
GAD033734716,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,02/25/2000,N  
GAD033734716,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,06/06/2001,Y  
GAD033734716,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/24/2005,N  
GAD033734716,GA,002,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/08/1986,N  
GAD033734716,GA,002,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,01/15/1997,N  
GAD033734716,GA,002,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/25/2000,U  
GAD033734716,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,01/23/2002,N  
GAD033791070,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/22/1986,N  
GAD033817354,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,07/14/1995,Y  
GAD033817354,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/26/1996,N  
GAD033817354,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,07/01/1999,N  
GAD033821950,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,06/18/1996,N  
GAD033821950,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,01/26/2000,N  
GAD033823386,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/02/1996,N  
GAD033842543,GA,000,CEI,COMPLIANCE EVALUATION INSPECTION,X  ,02/07/1994,N  
GAD006924872,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,11/09/1995,Y  
GAD006924872,GA,001,FRR,FINANCIAL RECORD REVIEW,S  ,02/08/1996,Y  
GAD006924872,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/19/1996,Y  
GAD006924872,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/30/1996,N  
GAD006924872,GA,001,CAC,CORRECTIVE ACTION COMPLIANCE EVALUATION,S  ,09/23/1996,N  
GAD006924872,GA,001,CAC,CORRECTIVE ACTION COMPLIANCE EVALUATION,S  ,12/12/1996,N  
GAD006924872,GA,001,CAC,CORRECTIVE ACTION COMPLIANCE EVALUATION,S  ,04/16/1997,N  
GAD006924872,GA,001,SNY,SIGNIFICANT NON-COMPLIER,S  ,06/30/1997,N  
GAD006924872,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,09/29/1997,N  
GAD033842543,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/05/1993,Y  
GAD033590514,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,07/26/2001,Y  
GAD033590514,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,01/10/2002,Y  
GAD033590514,GA,001,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,08/16/2002,N  
GAD033590514,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,12/10/2002,N  
GAD004149951,GA,005,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,09/07/1989,N  
GAD004149951,GA,006,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,01/29/1991,N  
GAD004501862,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/09/1986,N  
GAD003324944,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/30/1992,N  
GAD063152573,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,10/23/1991,Y  
GAD063152573,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/30/1992,N  
GAD063152573,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,09/24/1992,Y  
GAD051034387,GA,072,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,03/03/1989,N  
GAD051034387,GA,073,NRR,NON-FINANCIAL RECORD REVIEW,S  ,10/28/1988,N  
